,1. open,2. high,3. low,4. close,5. adjusted close
2018-12-31,229.3100,229.9700,227.4500,229.8100,227.3423
2018-12-28,229.3200,231.0700,226.5200,227.7600,225.3143
2018-12-27,222.9600,228.1200,219.6000,228.0500,225.6012
2018-12-26,216.8800,226.1000,214.8300,225.9500,223.5237
2018-12-24,219.7400,220.8000,215.0700,215.0700,212.7606
2018-12-21,226.7400,229.4600,220.5700,221.1600,218.7852
2018-12-20,228.3500,229.9000,223.5400,225.6500,223.2270
2018-12-19,233.2100,237.0000,227.7800,229.4200,226.9565
2018-12-18,235.0000,235.6800,231.4790,233.1400,230.6365
2018-12-17,237.0600,238.2200,231.6800,233.2300,230.7256
2018-12-14,241.6500,242.6300,238.7700,239.3800,235.5344
2018-12-13,244.8600,245.7600,242.7000,243.8800,239.9621
2018-12-12,245.8000,247.1600,243.8500,243.9600,240.0408
2018-12-11,245.9500,246.1200,241.1900,242.6200,238.7223
2018-12-10,242.0000,243.6200,237.5982,242.5500,238.6535
2018-12-07,247.6300,249.2400,241.3700,242.2600,238.3681
2018-12-06,244.4200,248.0900,241.1300,248.0200,244.0356
2018-12-04,255.8500,256.2700,248.0600,248.6500,244.6554
2018-12-03,257.6500,257.7400,255.0600,256.6100,252.4875
2018-11-30,251.6400,253.9400,251.3500,253.4800,249.4079
2018-11-29,251.5400,253.2500,250.3600,251.8100,247.7647
2018-11-28,247.7200,252.3300,246.7500,252.3300,248.2763
2018-11-27,244.7300,246.6000,244.1200,246.5700,242.6089
2018-11-26,244.2300,245.8518,243.8500,245.8000,241.8512
2018-11-23,241.8000,243.3460,241.7300,242.0100,238.1221
2018-11-21,244.2400,245.4400,243.5200,243.5800,239.6669
2018-11-20,243.8400,245.3200,241.8300,242.7700,238.8699
2018-11-19,250.9400,251.2050,246.3500,247.3200,243.3468
2018-11-16,249.7700,252.4700,249.2600,251.4900,247.4498
2018-11-15,247.0200,251.3900,245.4310,250.8500,246.8201
2018-11-14,251.9600,252.3400,246.6600,248.2800,244.2914
2018-11-13,250.9600,253.0100,249.2800,249.9900,245.9739
2018-11-12,254.6704,254.9600,249.9500,250.4100,246.3872
2018-11-09,256.5000,256.6400,253.8100,255.3400,251.2380
2018-11-08,257.4900,258.4370,256.6500,257.7200,253.5797
2018-11-07,255.0700,258.3200,254.6500,258.1600,254.0127
2018-11-06,251.1800,252.9750,251.1170,252.8200,248.7585
2018-11-05,250.3200,251.7920,249.3900,251.2300,247.1940
2018-11-02,252.4400,252.9000,247.7500,249.8100,245.7968
2018-11-01,249.6300,251.5400,248.4439,251.3700,247.3317
2018-10-31,248.7200,251.0800,248.2700,248.7900,244.7932
2018-10-30,242.3100,246.3800,241.8000,246.2100,242.2547
2018-10-29,247.0300,248.3500,238.7900,242.5000,238.6042
2018-10-26,244.3400,246.9800,241.0350,243.7600,239.8440
2018-10-25,245.7350,249.7860,244.6720,248.1500,244.1635
2018-10-24,251.1900,251.5500,243.2500,243.7800,239.8637
2018-10-23,249.0000,252.5800,246.8400,251.2800,247.2432
2018-10-22,254.5500,254.8600,252.1700,252.8000,248.7388
2018-10-19,254.6650,256.6200,253.1500,253.8500,249.7719
2018-10-18,256.7540,257.3500,252.6900,254.0500,249.9687
2018-10-17,257.7500,258.3400,255.0700,257.6700,253.5306
2018-10-16,254.1400,258.1000,253.7000,257.5800,253.4420
2018-10-15,253.1900,254.5600,252.0400,252.2100,248.1583
2018-10-12,254.3900,254.6400,250.3000,253.6000,249.5259
2018-10-11,254.8100,256.2900,248.4778,250.2200,246.2002
2018-10-10,263.6201,263.6200,255.3700,255.6000,251.4938
2018-10-09,264.1000,265.4500,263.5490,264.1300,259.8867
2018-10-08,263.7700,264.8500,262.3800,264.4700,260.2213
2018-10-05,266.1900,266.7700,263.0200,264.5400,260.2902
2018-10-04,267.5700,267.6600,264.3700,266.0400,261.7661
2018-10-03,269.0200,269.4700,267.7200,268.2400,263.9307
2018-10-02,267.9700,268.6700,267.5500,268.0100,263.7044
2018-10-01,268.4600,269.1750,267.3900,268.0400,263.7340
2018-09-28,266.5000,267.6500,266.4300,267.0500,262.7598
2018-09-27,266.8760,268.2400,266.6000,267.0800,262.7894
2018-09-26,267.3200,268.5400,265.9500,266.3400,262.0612
2018-09-25,269.1000,269.1730,268.1500,268.3300,262.8317
2018-09-24,268.9300,269.0680,268.0200,268.6600,263.1549
2018-09-21,270.5500,270.6700,269.3700,269.5600,264.0365
2018-09-20,268.8900,270.1000,268.7900,269.7500,264.2226
2018-09-19,267.3500,268.0300,267.2300,267.6000,262.1166
2018-09-18,266.1000,267.9200,266.0878,267.3000,261.8228
2018-09-17,267.2200,267.2609,265.5900,265.8500,260.4025
2018-09-14,267.4700,267.6250,266.4700,267.3600,261.8815
2018-09-13,266.7800,267.4180,266.4700,267.2200,261.7444
2018-09-12,265.6100,266.2600,264.8300,265.7100,260.2654
2018-09-11,264.0300,266.0500,263.6800,265.6800,260.2360
2018-09-10,265.2800,265.5700,264.5100,264.6800,259.2564
2018-09-07,263.6300,265.2600,263.4500,264.1800,258.7667
2018-09-06,265.6900,265.9900,263.7000,264.8200,259.3936
2018-09-05,265.9100,266.1300,264.5200,265.6000,260.1576
2018-09-04,266.3500,266.6600,265.2600,266.3500,260.8922
2018-08-31,266.3300,267.2160,265.8300,266.7200,261.2547
2018-08-30,267.3100,267.7100,266.1200,266.7100,261.2448
2018-08-29,266.5900,268.0500,266.3400,267.8000,262.3125
2018-08-28,266.7600,266.8300,265.8900,266.3400,260.8824
2018-08-27,265.3800,266.3500,265.2600,266.1900,260.7355
2018-08-24,263.1600,264.2900,263.1100,264.2000,258.7863
2018-08-23,262.6800,263.6300,262.2100,262.5500,257.1701
2018-08-22,262.6155,263.4500,262.3900,262.9300,257.5424
2018-08-21,263.0100,263.9795,262.8600,263.0100,257.6207
2018-08-20,262.4000,262.7400,261.9000,262.4400,257.0624
2018-08-17,260.7100,262.3800,260.3500,261.8600,256.4942
2018-08-16,260.3600,261.8890,260.3500,260.9900,255.6421
2018-08-15,259.4300,259.5500,257.3900,258.8900,253.5851
2018-08-14,259.9400,261.0700,259.5500,260.8100,255.4658
2018-08-13,260.4100,261.0700,258.9000,259.1400,253.8300
2018-08-10,260.3600,260.9640,259.4300,260.1200,254.7899
2018-08-09,262.3300,262.7400,261.7600,261.9000,256.5334
2018-08-08,262.2300,262.6700,261.7900,262.2300,256.8567
2018-08-07,262.2000,262.7800,262.0800,262.3700,256.9938
2018-08-06,260.5600,261.8300,260.2000,261.6400,256.2788
2018-08-03,259.5858,260.6600,259.3900,260.6600,255.3188
2018-08-02,256.7300,259.6000,256.4800,259.3900,254.0749
2018-08-01,258.6400,259.1930,257.3510,258.0800,252.7917
2018-07-31,258.0200,259.0900,257.6000,258.4000,253.1051
2018-07-30,258.6000,258.7800,256.6400,257.1000,251.8318
2018-07-27,260.7300,260.7400,257.5800,258.5900,253.2913
2018-07-26,260.1400,261.0050,260.1000,260.2800,254.9467
2018-07-25,258.5400,261.2500,258.4300,261.0500,255.7009
2018-07-24,258.8400,259.5700,257.8200,258.6800,253.3794
2018-07-23,256.7300,257.6100,256.4000,257.4700,252.1942
2018-07-20,257.0000,257.6500,256.7800,256.9800,251.7143
2018-07-19,257.5157,257.9000,256.7500,257.2200,251.9494
2018-07-18,257.7600,258.3200,257.2800,258.2000,252.9093
2018-07-17,255.8551,258.0600,255.8000,257.7300,252.4489
2018-07-16,256.8900,257.0100,256.1600,256.6300,251.3714
2018-07-13,256.4900,257.1590,255.9900,256.7900,251.5282
2018-07-12,255.6600,256.6600,255.0100,256.5700,251.3127
2018-07-11,254.6000,255.4100,254.0300,254.3900,249.1773
2018-07-10,255.7500,256.3000,255.4500,256.1400,250.8915
2018-07-09,254.0500,255.3200,254.0100,255.2500,250.0197
2018-07-06,250.8898,253.3900,250.5200,253.0100,247.8256
2018-07-05,250.0700,250.9308,248.9100,250.9200,245.7784
2018-07-03,250.6800,250.7600,248.4400,248.7900,243.6921
2018-07-02,247.5600,249.8900,247.3005,249.8000,244.6814
2018-06-29,249.9800,251.3600,249.1000,249.5100,244.3973
2018-06-28,247.3000,249.6000,246.6300,248.8800,243.7802
2018-06-27,251.2700,252.7300,248.4300,248.5300,242.3041
2018-06-26,250.6600,251.5300,249.9100,250.6100,244.3320
2018-06-25,252.3700,252.5100,248.3500,250.0600,243.7958
2018-06-22,254.4000,254.5200,253.3200,253.5700,247.2179
2018-06-21,254.6610,254.6700,252.5800,253.1200,246.7791
2018-06-20,254.9700,255.3595,254.3200,254.7100,248.3293
2018-06-19,252.8238,254.4570,252.4200,254.2500,247.8808
2018-06-18,254.1800,255.3600,253.7100,255.2200,248.8265
2018-06-15,255.2700,256.0700,254.1300,255.8300,249.4212
2018-06-14,256.3100,256.6200,255.4600,256.0500,249.6357
2018-06-13,256.5300,256.7700,255.2300,255.3100,248.9143
2018-06-12,256.3900,256.6300,255.6000,256.3300,249.9087
2018-06-11,255.7900,256.6700,255.7000,255.9000,249.4895
2018-06-08,254.3600,255.6200,254.2043,255.5700,249.1678
2018-06-07,255.3700,255.7000,253.8800,254.7700,248.3878
2018-06-06,253.3700,254.9600,252.7200,254.8900,248.5048
2018-06-05,252.6600,253.1300,251.8700,252.8700,246.5354
2018-06-04,252.1700,252.7980,251.9600,252.5200,246.1942
2018-06-01,250.2412,251.6500,250.1700,251.4100,245.1120
2018-05-31,249.9826,250.3000,248.2800,248.7900,242.5576
2018-05-30,248.5300,250.8800,248.4300,250.4100,244.1370
2018-05-29,248.2800,249.0800,245.9700,247.1500,240.9587
2018-05-25,250.0400,250.6400,249.4900,250.0400,243.7763
2018-05-24,250.7400,251.0000,248.7426,250.6700,244.3905
2018-05-23,249.1200,251.1500,248.9500,251.1500,244.8585
2018-05-22,251.6700,251.9390,250.1000,250.3700,244.0980
2018-05-21,250.7700,251.6800,250.4314,251.0900,244.8000
2018-05-18,249.5300,249.8500,248.8900,249.2600,243.0158
2018-05-17,249.7750,250.9900,249.0800,249.8800,243.6203
2018-05-16,249.0659,250.5400,249.0700,250.0900,243.8250
2018-05-15,249.5000,249.5200,248.0573,249.0300,242.7916
2018-05-14,251.1200,251.7600,250.2100,250.7500,244.4685
2018-05-11,250.0400,250.9160,249.4800,250.4700,244.1955
2018-05-10,248.3600,250.1959,248.2500,249.8600,243.6008
2018-05-09,245.8600,247.9000,245.3600,247.5400,241.3389
2018-05-08,244.8300,245.5300,243.5700,245.1600,239.0185
2018-05-07,245.1900,246.1900,244.4600,245.1700,239.0283
2018-05-04,240.2500,245.0550,239.8950,244.4100,238.2873
2018-05-03,240.8800,241.9000,237.9200,241.2100,235.1675
2018-05-02,243.2336,244.0200,241.3600,241.7800,235.7232
2018-05-01,242.4500,243.5200,240.7600,243.4400,237.3416
2018-04-30,245.5100,246.0500,242.8500,242.9200,236.8346
2018-04-27,245.2300,245.5700,243.8900,244.9200,238.7845
2018-04-26,243.2200,245.4700,242.7700,244.6600,238.5311
2018-04-25,241.5100,242.6300,239.6000,242.1700,236.1034
2018-04-24,245.9700,246.1200,240.0100,241.5500,235.4990
2018-04-23,245.5500,246.0800,243.7500,244.8900,238.7553
2018-04-20,246.9500,247.1300,243.9700,245.0000,238.8625
2018-04-19,247.6200,247.8900,245.9512,247.0000,240.8124
2018-04-18,248.6600,249.2200,247.9440,248.3600,242.1384
2018-04-17,247.4200,248.8140,246.8750,248.2200,242.0019
2018-04-16,245.2700,246.3541,244.4100,245.5800,239.4280
2018-04-13,245.8400,245.8400,242.5000,243.6000,237.4976
2018-04-12,243.7100,245.2442,243.4700,244.2800,238.1606
2018-04-11,242.0000,243.9900,241.9500,242.2500,236.1814
2018-04-10,242.7500,244.3800,241.5700,243.5400,237.4391
2018-04-09,240.1500,243.2500,239.3200,239.5900,233.5881
2018-04-06,241.9400,243.5100,236.9800,238.6200,232.6424
2018-04-05,243.9000,244.8900,242.8195,243.9900,237.8778
2018-04-04,235.8700,242.8100,235.7000,242.2400,236.1717
2018-04-03,237.8100,240.0000,235.9300,239.4800,233.4808
2018-04-02,241.1900,241.7000,233.9200,236.4800,230.5560
2018-03-29,239.8500,243.6100,239.0800,242.0800,236.0157
2018-03-28,239.4600,241.2200,237.5300,238.6400,232.6619
2018-03-27,244.4700,245.0400,237.7700,239.3100,233.3151
2018-03-26,240.8200,243.8100,238.3200,243.5300,237.4294
2018-03-23,243.7501,244.5200,237.9200,238.0900,231.0688
2018-03-22,247.1100,248.0800,243.0300,243.2700,236.0960
2018-03-21,249.9400,252.1200,249.3100,249.4700,242.1132
2018-03-20,249.9900,250.6590,249.3300,250.0500,242.6761
2018-03-19,252.2500,252.2600,247.8865,249.6100,242.2491
2018-03-16,253.2300,254.0800,252.9700,252.9900,245.5294
2018-03-15,253.5500,254.2100,252.2200,252.7300,245.2771
2018-03-14,255.3300,255.5100,252.4600,252.9700,245.5100
2018-03-13,257.2000,257.7100,253.7100,254.3100,246.8105
2018-03-12,256.6400,257.2500,255.5830,256.0000,248.4506
2018-03-09,253.4028,256.2600,253.0500,256.2500,248.6933
2018-03-08,251.4000,252.0200,250.3600,251.8900,244.4619
2018-03-07,248.5341,251.0700,248.3600,250.7200,243.3263
2018-03-06,251.2200,251.2500,249.2138,250.8300,243.4331
2018-03-05,246.0200,250.7900,245.9500,250.2000,242.8217
2018-03-02,244.2400,247.8600,243.3310,247.3600,240.0654
2018-03-01,249.5300,251.0300,244.4500,246.0500,238.7941
2018-02-28,253.3700,253.8200,249.3400,249.3400,241.9870
2018-02-27,255.6300,256.3400,252.1400,252.1400,244.7045
2018-02-26,253.5600,255.5000,252.9900,255.4000,247.8683
2018-02-23,249.8200,252.4900,249.3000,252.4900,245.0441
2018-02-22,249.1700,250.9000,247.8100,248.4100,241.0845
2018-02-21,249.8600,252.4400,248.1100,248.1100,240.7933
2018-02-20,249.9950,251.5100,248.6000,249.4200,242.0647
2018-02-16,250.2700,253.0000,250.1580,250.9400,243.5399
2018-02-15,249.5902,250.9700,246.9800,250.9700,243.5690
2018-02-14,243.0000,248.1200,242.8400,247.7600,240.4536
2018-02-13,242.6300,245.0000,241.9700,244.5600,237.3480
2018-02-12,242.4892,245.3200,240.6600,243.7400,236.5522
2018-02-09,239.6000,242.2000,232.4200,240.4400,233.3495
2018-02-08,246.2500,246.4300,236.7000,236.7900,229.8071
2018-02-07,246.7100,250.3034,245.9200,245.9300,238.6776
2018-02-06,238.8000,247.8100,237.6700,247.2800,239.9878
2018-02-05,251.2600,253.4700,241.9200,242.7900,235.6302
2018-02-02,257.3700,257.5000,253.0900,253.1900,245.7235
2018-02-01,258.2900,260.1200,257.9500,258.7300,251.1001
2018-01-31,259.8300,260.3800,257.9500,258.9900,251.3524
2018-01-30,259.6700,260.3500,258.4600,258.7500,251.1195
2018-01-29,262.8290,263.2500,261.4800,261.5400,253.8272
2018-01-26,261.3300,263.3700,260.9700,263.3600,255.5936
2018-01-25,261.1700,261.2200,259.5300,260.3300,252.6529
2018-01-24,261.0300,261.6300,259.0190,260.2100,252.5365
2018-01-23,259.8400,260.6370,259.5100,260.3400,252.6627
2018-01-22,257.4500,259.7800,257.4500,259.7500,252.0900
2018-01-19,257.1500,257.6900,256.5300,257.6800,250.0811
2018-01-18,256.8400,257.2585,256.0200,256.5900,249.0232
2018-01-17,255.5000,257.3500,254.7420,256.9400,249.3629
2018-01-16,256.7900,257.3980,253.8000,254.4800,246.9754
2018-01-12,254.0300,255.5600,253.9000,255.4100,247.8780
2018-01-11,252.4738,253.7300,252.3300,253.7300,246.2476
2018-01-10,251.5100,252.1700,250.8200,251.8700,244.4424
2018-01-09,252.1800,252.9420,251.9100,252.3000,244.8597
2018-01-08,251.1600,251.8800,250.8700,251.7700,244.3454
2018-01-05,250.4600,251.4000,249.9500,251.2500,243.8407
2018-01-04,249.2700,250.1200,249.1700,249.6500,242.2879
2018-01-03,247.2400,248.7000,247.1800,248.5600,241.2300
